Parti,Nombre de sièges,Nombre de voix,commune,date,election
DéFI,,1841,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,6167,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,503,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,831,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,10419,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,306,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,126,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
one.brussels-sp.a,,1293,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,210,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,229,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,82,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,128,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,425,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,112,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,48,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,58,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,3535,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,277,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,596,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,1230,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,187,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,291,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,117,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,93,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,879,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,2523,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,198,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,741,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,3213,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,167,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,247,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
one.brussels-sp.a,,495,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,47,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,163,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,41,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,24,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,117,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,90,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,38,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,26,Saint-Gilles,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,1223,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,119,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,514,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,400,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,93,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,122,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,76,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,81,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,439,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,958,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,82,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,278,Saint-Josse-Ten-Noode,2019,parlement-de-la-région-de-bruxelles-capitale
